date,destination_id,destination,domestic_visitors,international_visitors,visitors,log1p_visitors,split,is_zero_day,data_quality_flag
2023-08-11,7,Lăng vua Minh Mạng,390,397,787,6.6694980899,train,False,observed_complete
2023-08-12,7,Lăng vua Minh Mạng,721,381,1102,7.0057890193,train,False,observed_complete
2023-08-13,7,Lăng vua Minh Mạng,526,347,873,6.7730803757,train,False,observed_complete
2023-08-14,7,Lăng vua Minh Mạng,270,310,580,6.3647507569,train,False,observed_complete
2023-08-15,7,Lăng vua Minh Mạng,282,238,520,6.2557500418,train,False,observed_complete
2023-08-16,7,Lăng vua Minh Mạng,234,294,528,6.2709884319,train,False,observed_complete
2023-08-17,7,Lăng vua Minh Mạng,293,238,531,6.2766434893,train,False,observed_complete
2023-08-18,7,Lăng vua Minh Mạng,280,362,642,6.4661447242,train,False,observed_complete
2023-08-19,7,Lăng vua Minh Mạng,378,195,573,6.3526293963,train,False,observed_complete
2023-08-20,7,Lăng vua Minh Mạng,486,192,678,6.5206211276,train,False,observed_complete
2023-08-21,7,Lăng vua Minh Mạng,332,278,610,6.4150969592,train,False,observed_complete
2023-08-22,7,Lăng vua Minh Mạng,208,282,490,6.1964441278,train,False,observed_complete
2023-08-23,7,Lăng vua Minh Mạng,283,273,556,6.3225652399,train,False,observed_complete
2023-08-24,7,Lăng vua Minh Mạng,236,193,429,6.0637852087,train,False,observed_complete
2023-08-25,7,Lăng vua Minh Mạng,312,289,601,6.4002574453,train,False,observed_complete
