destination,horizon,seed,model,MAE,rank
Lăng vua Minh Mạng,7,77,ARIMAX,262.12669800935015,8.0
Lăng vua Minh Mạng,7,77,DLM,217.83097489554055,6.0
Lăng vua Minh Mạng,7,77,ETS,214.83948684728028,4.0
Lăng vua Minh Mạng,7,77,LSTM,227.83182196692104,7.0
Lăng vua Minh Mạng,7,77,RF,180.57423969852718,2.0
Lăng vua Minh Mạng,7,77,SARIMAX,209.93114444542715,3.0
Lăng vua Minh Mạng,7,77,SeasonalNaive7,217.0686274509804,5.0
Lăng vua Minh Mạng,7,77,TFT,177.4813019979066,1.0
Lăng vua Minh Mạng,7,99,ARIMAX,262.12669800935015,8.0
Lăng vua Minh Mạng,7,99,DLM,224.47430408070431,7.0
Lăng vua Minh Mạng,7,99,ETS,214.83948684728028,5.0
Lăng vua Minh Mạng,7,99,LSTM,207.1400129660771,3.0
Lăng vua Minh Mạng,7,99,RF,177.15008799347962,2.0
Lăng vua Minh Mạng,7,99,SARIMAX,209.93114444542715,4.0
Lăng vua Minh Mạng,7,99,SeasonalNaive7,217.0686274509804,6.0
Lăng vua Minh Mạng,7,99,TFT,160.63840345519682,1.0
Lăng vua Minh Mạng,7,123,ARIMAX,262.12669800935015,8.0
Lăng vua Minh Mạng,7,123,DLM,199.90691578026014,3.0
Lăng vua Minh Mạng,7,123,ETS,214.83948684728028,6.0
Lăng vua Minh Mạng,7,123,LSTM,208.89872224148647,4.0
Lăng vua Minh Mạng,7,123,RF,179.29144346703185,2.0
Lăng vua Minh Mạng,7,123,SARIMAX,209.93114444542715,5.0
Lăng vua Minh Mạng,7,123,SeasonalNaive7,217.0686274509804,7.0
Lăng vua Minh Mạng,7,123,TFT,160.87482886551493,1.0
Lăng vua Minh Mạng,7,256,ARIMAX,262.12669800935015,8.0
Lăng vua Minh Mạng,7,256,DLM,220.76482753112995,7.0
Lăng vua Minh Mạng,7,256,ETS,214.83948684728028,5.0
Lăng vua Minh Mạng,7,256,LSTM,209.3596542181833,3.0
Lăng vua Minh Mạng,7,256,RF,178.0145901433756,2.0
Lăng vua Minh Mạng,7,256,SARIMAX,209.93114444542715,4.0
Lăng vua Minh Mạng,7,256,SeasonalNaive7,217.0686274509804,6.0
Lăng vua Minh Mạng,7,256,TFT,138.4417008036408,1.0
Lăng vua Minh Mạng,7,512,ARIMAX,262.12669800935015,8.0
Lăng vua Minh Mạng,7,512,DLM,206.30374047708574,3.0
Lăng vua Minh Mạng,7,512,ETS,214.83948684728028,6.0
Lăng vua Minh Mạng,7,512,LSTM,207.962883246958,4.0
Lăng vua Minh Mạng,7,512,RF,178.47841198737356,2.0
Lăng vua Minh Mạng,7,512,SARIMAX,209.93114444542715,5.0
Lăng vua Minh Mạng,7,512,SeasonalNaive7,217.0686274509804,7.0
Lăng vua Minh Mạng,7,512,TFT,154.4243508017524,1.0
Lăng vua Minh Mạng,7,2024,ARIMAX,262.12669800935015,8.0
Lăng vua Minh Mạng,7,2024,DLM,195.59870626390762,3.0
Lăng vua Minh Mạng,7,2024,ETS,214.83948684728028,6.0
Lăng vua Minh Mạng,7,2024,LSTM,208.1447865834023,4.0
Lăng vua Minh Mạng,7,2024,RF,180.55398375930739,2.0
Lăng vua Minh Mạng,7,2024,SARIMAX,209.93114444542715,5.0
Lăng vua Minh Mạng,7,2024,SeasonalNaive7,217.0686274509804,7.0
Lăng vua Minh Mạng,7,2024,TFT,175.14268636966938,1.0
Lăng vua Minh Mạng,7,2025,ARIMAX,262.12669800935015,8.0
Lăng vua Minh Mạng,7,2025,DLM,195.75906215202477,3.0
Lăng vua Minh Mạng,7,2025,ETS,214.83948684728028,5.0
Lăng vua Minh Mạng,7,2025,LSTM,219.326015321281,7.0
Lăng vua Minh Mạng,7,2025,RF,179.75838356059117,2.0
Lăng vua Minh Mạng,7,2025,SARIMAX,209.93114444542715,4.0
Lăng vua Minh Mạng,7,2025,SeasonalNaive7,217.0686274509804,6.0
Lăng vua Minh Mạng,7,2025,TFT,154.56891762749265,1.0
Lăng vua Minh Mạng,30,1,ARIMAX,325.12196422283824,8.0
Lăng vua Minh Mạng,30,1,DLM,263.3243610366612,3.0
Lăng vua Minh Mạng,30,1,ETS,323.6287665730675,7.0
