MAE,RMSE,MSE,MAPE,R2,destination,model,horizon,seed
262.12669800935015,380.43197095317316,144728.484523316,27.893733008936344,-0.3291952268466187,Lăng vua Minh Mạng,ARIMAX,7,512
262.12669800935015,380.43197095317316,144728.484523316,27.893733008936344,-0.3291952268466187,Lăng vua Minh Mạng,ARIMAX,7,2024
262.12669800935015,380.43197095317316,144728.484523316,27.893733008936344,-0.3291952268466187,Lăng vua Minh Mạng,ARIMAX,7,2025
325.12196422283824,427.1846831665753,182486.75353212736,34.27216269558142,-0.9294229452916418,Lăng vua Minh Mạng,ARIMAX,30,1
325.12196422283824,427.1846831665753,182486.75353212736,34.27216269558142,-0.9294229452916418,Lăng vua Minh Mạng,ARIMAX,30,7
325.12196422283824,427.1846831665753,182486.75353212736,34.27216269558142,-0.9294229452916418,Lăng vua Minh Mạng,ARIMAX,30,42
325.12196422283824,427.1846831665753,182486.75353212736,34.27216269558142,-0.9294229452916418,Lăng vua Minh Mạng,ARIMAX,30,77
325.12196422283824,427.1846831665753,182486.75353212736,34.27216269558142,-0.9294229452916418,Lăng vua Minh Mạng,ARIMAX,30,99
325.12196422283824,427.1846831665753,182486.75353212736,34.27216269558142,-0.9294229452916418,Lăng vua Minh Mạng,ARIMAX,30,123
325.12196422283824,427.1846831665753,182486.75353212736,34.27216269558142,-0.9294229452916418,Lăng vua Minh Mạng,ARIMAX,30,256
325.12196422283824,427.1846831665753,182486.75353212736,34.27216269558142,-0.9294229452916418,Lăng vua Minh Mạng,ARIMAX,30,512
325.12196422283824,427.1846831665753,182486.75353212736,34.27216269558142,-0.9294229452916418,Lăng vua Minh Mạng,ARIMAX,30,2024
325.12196422283824,427.1846831665753,182486.75353212736,34.27216269558142,-0.9294229452916418,Lăng vua Minh Mạng,ARIMAX,30,2025
150.98146628049633,230.13738300182763,52963.215054929904,18.332572197921195,0.4624608514013784,Lăng vua Minh Mạng,DLM,1,1
133.87419752485033,206.65671064194402,42706.99605334818,16.327847664593182,0.5665542155265246,Lăng vua Minh Mạng,DLM,1,7
147.65674683832555,233.77380892020454,54650.19373706031,17.820133299568862,0.44533921172078283,Lăng vua Minh Mạng,DLM,1,42
145.512121925373,216.42062632770475,46837.887500076016,18.811202621056776,0.5246285909411508,Lăng vua Minh Mạng,DLM,1,77
154.01704083796196,243.07280586895703,59084.38895300768,17.928081641221468,0.4003352685381726,Lăng vua Minh Mạng,DLM,1,99
144.23825508435272,213.6474810551297,45645.246161202005,17.89422989560286,0.5367330564502208,Lăng vua Minh Mạng,DLM,1,123
148.59102276719236,233.16131182816733,54364.197333431875,17.45364371298289,0.44824187280639205,Lăng vua Minh Mạng,DLM,1,256
147.52253950626368,232.9682008391235,54274.18260221819,17.587840509857763,0.4491554586211458,Lăng vua Minh Mạng,DLM,1,512
138.771333558582,215.37484336655768,46386.32315516926,16.961306219191354,0.5292116494516079,Lăng vua Minh Mạng,DLM,1,2024
140.6895047539019,211.1351556182078,44578.053937924815,17.665195298223267,0.5475643022213948,Lăng vua Minh Mạng,DLM,1,2025
204.56810888679868,330.28929642975595,109091.01933606318,23.93635189633843,-0.09144340107090354,Lăng vua Minh Mạng,DLM,7,1
196.78766698354872,314.6021086234211,98974.48675030285,23.08017437243104,0.009771371690842523,Lăng vua Minh Mạng,DLM,7,7
